date,location,tweetcreatedts,sentiment
20220224,Afghanistan,67,-0.402985075
20220224,Albania,25,-0.6
20220224,Algeria,8,-0.5
20220224,Angola,5,0
20220224,Antarctica,44,-0.363636364
20220224,Argentina,117,-0.341880342
20220224,Armenia,18,-0.444444444
20220224,Australia,591,-0.360406091
20220224,Austria,92,-0.380434783
20220224,Azerbaijan,40,-0.15
20220224,Bangladesh,146,-0.335616438
20220224,Belarus,5,-0.6
20220224,Belgium,280,-0.342857143
20220224,Belize,1,-1
20220224,Benin,13,-0.307692308
20220224,Bhutan,2,-1
20220224,Bolivia,10,-0.6
20220224,Bosnia and Herzegovina,6,-0.166666667
20220224,Botswana,16,-0.3125
20220224,Brazil,90,-0.3
20220224,Brunei,3,-0.666666667
20220224,Bulgaria,34,-0.235294118
20220224,Burkina Faso,8,-0.375
20220224,Burundi,2,0.5
20220224,Cambodia,13,-0.538461538
20220224,Cameroon,20,-0.2
20220224,Canada,1004,-0.354581673
20220224,Chad,2,-1
20220224,Chile,116,-0.50862069
20220224,China,72,-0.347222222
20220224,Colombia,117,-0.461538462
20220224,Costa Rica,32,-0.46875
20220224,Croatia,39,-0.307692308
20220224,Cuba,28,-0.285714286
20220224,Cyprus,45,-0.422222222
20220224,Czech Republic,63,-0.317460317
20220224,Denmark,111,-0.441441441
20220224,Djibouti,2,-1
20220224,Dominican Republic,12,-0.416666667
20220224,Ecuador,50,-0.24
20220224,Egypt,150,-0.473333333
20220224,El Salvador,18,-0.444444444
20220224,England,2555,-0.398434442
20220224,Eritrea,2,-0.5
20220224,Estonia,74,-0.364864865
20220224,Ethiopia,50,-0.52
20220224,Falkland Islands,2,0
20220224,Fiji,7,-0.428571429
20220224,Finland,237,-0.244725738
20220224,France,869,-0.303797468
20220224,Gambia,4,-0.75
20220224,Georgia,177,-0.282485876
20220224,Germany,719,-0.393602225
20220224,Ghana,386,-0.323834197
20220224,Greece,161,-0.341614907
20220224,Greenland,4,-0.5
20220224,Guatemala,13,-0.307692308
20220224,Guinea,1,-1
20220224,Guyana,3,-0.333333333
20220224,Haiti,8,-0.25
20220224,Honduras,13,-0.230769231
20220224,Hungary,57,-0.333333333
20220224,Iceland,21,-0.476190476
20220224,India,5230,-0.345506692
20220224,Indonesia,226,-0.261061947
20220224,Iran,61,-0.442622951
20220224,Iraq,42,-0.452380952
20220224,Ireland,477,-0.431865828
20220224,Israel,102,-0.382352941
20220224,Italy,191,-0.356020942
20220224,Ivory Coast,4,0
20220224,Jamaica,60,-0.383333333
20220224,Japan,184,-0.342391304
20220224,Jordan,25,-0.6
20220224,Kazakhstan,8,0
20220224,Kenya,838,-0.257756563
20220224,Kosovo,13,-0.230769231
20220224,Kuwait,25,-0.24
20220224,Laos,1,-1
20220224,Latvia,60,-0.35
20220224,Lebanon,71,-0.338028169
20220224,Lesotho,5,-0.2
20220224,Liberia,2,-0.5
20220224,Libya,13,-0.461538462
20220224,Lithuania,46,-0.52173913
20220224,Luxembourg,31,-0.35483871
20220224,Macedonia,19,-0.473684211
20220224,Madagascar,4,-0.25
20220224,Malawi,17,-0.411764706
20220224,Malaysia,180,-0.461111111
20220224,Mali,18,-0.277777778
20220224,Mauritania,1,-1
20220224,Mexico,129,-0.472868217
20220224,Moldova,6,-0.333333333
20220224,Mongolia,23,-0.173913043
20220224,Montenegro,6,-0.166666667
20220224,Morocco,27,-0.407407407
20220224,Mozambique,3,-0.666666667
20220224,Myanmar,22,-0.272727273
20220224,Namibia,25,-0.2
20220224,Nepal,56,-0.267857143
20220224,Netherlands,296,-0.378378378
20220224,New Zealand,90,-0.388888889
20220224,Nicaragua,16,-0.375
20220224,Niger,1531,-0.307642064
20220224,North Korea,7,-0.142857143
20220224,Norway,111,-0.378378378
