,location,hashtag,cnt,retweet_mean,retweet_max,text
0,Afghanistan,armukrainenow,3,1.33,4,ukraine himars in chornobaevka the outskirts of kherson explosions again locals report that one of the explosions was one of the loudest of all time video with sound of this explosion below armukrainenow ukrainerussiawar https t co ubzvhsudvy
1,Afghanistan,biden,120,31.06,2093,sharing hunter s recent accomplishments my pants fell off 3 days clean that sums it all up for this member of the biden family thank you 4chan for doing what the fbi claim they couldn t do https t co 9ld6lr1hfd
2,Afghanistan,bucha,7,191.29,1117,russians executed every male civilian aged 16 60 years in bucha city ukraine before fleeing north from advancing ukrainian army russianwarcrimesinukraine russianukrainianwar russianwarcrimes russiainvadedukraine russianaggression russianwaronukraine https t co irycg6v5s0
3,Afghanistan,business,11,0.73,3,trading with europe where does afghanistan stand 1 india exports to eu reached 46 billion in 2021 2 pakistan s exports to eu countries stood 6 6 billions in 2021 3 afghanistan exported goods worth a meagre 30 million to eu in 2021 trade business https t co bhcpfwfpx8
4,Afghanistan,china,173,14.88,809,i think no caption need chinataiwancrisis taiwan china https t co 3juehmvmnu
5,Afghanistan,eu,45,351.0,3608,the spanish state a pillar of the eu which has accepted 110 000 ukrainerussiawar refugees committed this act of mass murder a massacre of ww2 proportions against african refugees this week i didn t even hear it on the news gallowayshow wednesday 10pm uk on youtube https t co hijraljxkz
6,Afghanistan,kharkiv,16,627.5,7854,photo of the kharkiv railway station https t co roc4bjlr3t
7,Afghanistan,kherson,8,126.12,951,and meanwhile in kherson ukrainians are planning to come to the streets to protest russian occupation bravery and defiance
8,Afghanistan,kyiv,71,454.15,20301,putin s dream of creating a greater russia is my country s nightmare saveukraine kyiv stopputinswar standtogether freeukraine weareallukrainians standwithukraine stopthewar https t co ekw3k6bsbz
9,Afghanistan,mariupol,34,572.62,7284,mariupol before russia after russia https t co etn3vufio6
10,Afghanistan,nato,386,300.63,4362,nato summit in madrid was a big love in for military industrial complex nato is not a defence alliance it has it is a war machine just ask people of afghanistan iraq libya nato s real goal is defence of us hegemony all discussion of this is chilled in land of free speech https t co tuplzevyjo
11,Afghanistan,news,67,0.13,4,the afghan generation post 2001 who partnered with the us in the fight against terrorism and rebuilt afghanistan from the ashes were outrageous and showed anger to the latest cnn amanpour interview with the notorious and globally know terrorist haqqani gaam news https t co z4kwkqyx7i
12,Afghanistan,putin,183,103.74,8010,russian president vladimir putin is the most dangerous man in the world at the moment 1 because he is telling some basic truths about the global elite and 2 he has the spine and the capacity do do something about it https t co ldsomfkfvu
13,Afghanistan,russia,748,55.56,11993,in novosibirsk russia local residents are marching in protest against the russian invasion of ukraine https t co ljgaosdjxg
14,Afghanistan,russiaisaterroriststate,2,30.5,61,horrific russian missile attacks on civilians in odesa at least 17 people were killed and dozens were wounded russiaisaterroriststate https t co d8bhn0vdtj
15,Afghanistan,russian,174,83.84,2891,ukrainian mother and daughter fighting to protect their homeland from the invading russian orcs https t co d24p8omdds
16,Afghanistan,russianukrainianwar,32,31.16,830,russianukrainianwar istandwithputin istandwithrussia rt if you agree https t co mbbivde8nh
17,Afghanistan,russiaukrainewar,70,5.64,115,reality of the world freepalaestine palestineunderattack ukrainerussiawar russiaukrainewar russiaukraine https t co 188b9e5quz
18,Afghanistan,slavaukraini,6,231.5,1151,the man in the mirror 2022 oil on board 50 x 40 cm ukraine ukraina slavaukraini stopputin hitler warcriminals mirror art contemporaryart putin https t co 9mwchkyyxo
19,Afghanistan,standwithukraine,38,871.55,12307,thank you russiaun for your letter dated march 16 please see our suggested edits below standwithukraine respectthecharter https t co 0m663r0tuw
20,Afghanistan,stoprussia,7,1179.71,8039,katya was killed by russians on may 22 defending ukraine rip stoprussia standwithukraine https t co tykraefsg6
21,Afghanistan,ukraine,1456,279.32,81874,this out of ukraine is 100 one of the most incredible videos i have ever seen this russian pow has the heart of a lion https t co kix1rsn0cz
22,Afghanistan,ukrainerussianwar,62,6.02,189,4 foreign mercenaries killed in siversk 1 edward patrignani from sweden 2 emile antoine roy sirois from canada 3 luke lutsyshyn usa 4 brian young usa zelenksy ukrainerussianwar ukraine https t co gv4gvti8xl
23,Afghanistan,ukrainerussiawar,162,413.52,15004,sfu token has continued her impressive performance help ukrainians and safeukraine in the ukrainerussiawar and make some dollars in the process 1 dollar soon https t co mexbnkqjdh
24,Afghanistan,ukraineunderattack,41,2.37,23,if hypocrisy had a face championsleague europaleague جیوجنگ_بائیکاٹ championsleague ukraineunderattack russiaukraine https t co 88cgoycrwi
